Jacks:1, cards:5555J, en:Fiveofakind, Score:7
Jacks:1, cards:JTTTT, en:Fiveofakind, Score:7
Jacks:1, cards:3333J, en:Fiveofakind, Score:7
Jacks:1, cards:7777J, en:Fiveofakind, Score:7
Jacks:1, cards:AAAAJ, en:Fiveofakind, Score:7
Jacks:1, cards:JQQQQ, en:Fiveofakind, Score:7
Jacks:1, cards:2222J, en:Fiveofakind, Score:7
Jacks:1, cards:6666J, en:Fiveofakind, Score:7
Jacks:1, cards:9999J, en:Fiveofakind, Score:7
Jacks:1, cards:8888J, en:Fiveofakind, Score:7
Jacks:1, cards:4444J, en:Fiveofakind, Score:7
Jacks:1, cards:JKKKK, en:Fiveofakind, Score:7
Jacks:1, cards:7999J, en:Fourofakind, Score:6
Jacks:1, cards:6999J, en:Fourofakind, Score:6
Jacks:1, cards:999AJ, en:Fourofakind, Score:6
Jacks:1, cards:4JQQQ, en:Fourofakind, Score:6
Jacks:1, cards:3335J, en:Fourofakind, Score:6
Jacks:1, cards:3337J, en:Fourofakind, Score:6
Jacks:1, cards:4777J, en:Fourofakind, Score:6
Jacks:1, cards:2223J, en:Fourofakind, Score:6
Jacks:1, cards:AJQQQ, en:Fourofakind, Score:6
Jacks:1, cards:JKKKT, en:Fourofakind, Score:6
Jacks:1, cards:5557J, en:Fourofakind, Score:6
Jacks:1, cards:6AAAJ, en:Fourofakind, Score:6
Jacks:1, cards:444JT, en:Fourofakind, Score:6
Jacks:1, cards:222JQ, en:Fourofakind, Score:6
Jacks:1, cards:555JQ, en:Fourofakind, Score:6
Jacks:1, cards:6JTTT, en:Fourofakind, Score:6
Jacks:1, cards:888JK, en:Fourofakind, Score:6
Jacks:1, cards:222JT, en:Fourofakind, Score:6
Jacks:1, cards:999JK, en:Fourofakind, Score:6
Jacks:1, cards:666JQ, en:Fourofakind, Score:6
Jacks:1, cards:3338J, en:Fourofakind, Score:6
Jacks:1, cards:4JKKK, en:Fourofakind, Score:6
Jacks:1, cards:3336J, en:Fourofakind, Score:6
Jacks:1, cards:888AJ, en:Fourofakind, Score:6
Jacks:1, cards:4449J, en:Fourofakind, Score:6
Jacks:1, cards:5777J, en:Fourofakind, Score:6
Jacks:1, cards:666AJ, en:Fourofakind, Score:6
Jacks:1, cards:333JT, en:Fourofakind, Score:6
Jacks:1, cards:5JKKK, en:Fourofakind, Score:6
Jacks:1, cards:8999J, en:Fourofakind, Score:6
Jacks:1, cards:2999J, en:Fourofakind, Score:6
Jacks:1, cards:777JT, en:Fourofakind, Score:6
Jacks:1, cards:5AAAJ, en:Fourofakind, Score:6
Jacks:1, cards:999JQ, en:Fourofakind, Score:6
Jacks:1, cards:2888J, en:Fourofakind, Score:6
Jacks:1, cards:7AAAJ, en:Fourofakind, Score:6
Jacks:1, cards:3JQQQ, en:Fourofakind, Score:6
Jacks:1, cards:8JTTT, en:Fourofakind, Score:6
Jacks:1, cards:3777J, en:Fourofakind, Score:6
Jacks:1, cards:3666J, en:Fourofakind, Score:6
Jacks:1, cards:3JTTT, en:Fourofakind, Score:6
Jacks:1, cards:2228J, en:Fourofakind, Score:6
Jacks:1, cards:7778J, en:Fourofakind, Score:6
Jacks:1, cards:4AAAJ, en:Fourofakind, Score:6
Jacks:1, cards:3999J, en:Fourofakind, Score:6
Jacks:1, cards:2224J, en:Fourofakind, Score:6
Jacks:1, cards:JQQQT, en:Fourofakind, Score:6
Jacks:1, cards:2226J, en:Fourofakind, Score:6
Jacks:1, cards:4446J, en:Fourofakind, Score:6
Jacks:1, cards:5559J, en:Fourofakind, Score:6
Jacks:1, cards:3334J, en:Fourofakind, Score:6
Jacks:1, cards:9JQQQ, en:Fourofakind, Score:6
Jacks:1, cards:2AAAJ, en:Fourofakind, Score:6
Jacks:1, cards:7888J, en:Fourofakind, Score:6
Jacks:1, cards:6668J, en:Fourofakind, Score:6
Jacks:1, cards:5666J, en:Fourofakind, Score:6
Jacks:1, cards:3888J, en:Fourofakind, Score:6
Jacks:1, cards:44JTT, en:Fullhouse, Score:5
Jacks:1, cards:5599J, en:Fullhouse, Score:5
Jacks:1, cards:AAJTT, en:Fullhouse, Score:5
Jacks:1, cards:5588J, en:Fullhouse, Score:5
Jacks:1, cards:55AAJ, en:Fullhouse, Score:5
Jacks:1, cards:2266J, en:Fullhouse, Score:5
Jacks:1, cards:33JQQ, en:Fullhouse, Score:5
Jacks:1, cards:99AAJ, en:Fullhouse, Score:5
Jacks:1, cards:4466J, en:Fullhouse, Score:5
Jacks:1, cards:88JKK, en:Fullhouse, Score:5
Jacks:1, cards:2299J, en:Fullhouse, Score:5
Jacks:1, cards:3399J, en:Fullhouse, Score:5
Jacks:1, cards:22AAJ, en:Fullhouse, Score:5
Jacks:1, cards:77JKK, en:Fullhouse, Score:5
Jacks:1, cards:66JQQ, en:Fullhouse, Score:5
Jacks:1, cards:3366J, en:Fullhouse, Score:5
Jacks:1, cards:3388J, en:Fullhouse, Score:5
Jacks:1, cards:JQQTT, en:Fullhouse, Score:5
Jacks:1, cards:55JKK, en:Fullhouse, Score:5
Jacks:1, cards:99JQQ, en:Fullhouse, Score:5
Jacks:1, cards:3377J, en:Fullhouse, Score:5
Jacks:1, cards:77JTT, en:Fullhouse, Score:5
Jacks:1, cards:2288J, en:Fullhouse, Score:5
Jacks:1, cards:33AAJ, en:Fullhouse, Score:5
Jacks:1, cards:22JQQ, en:Fullhouse, Score:5
Jacks:1, cards:33JTT, en:Fullhouse, Score:5
Jacks:1, cards:88JTT, en:Fullhouse, Score:5
Jacks:1, cards:3344J, en:Fullhouse, Score:5
Jacks:1, cards:7788J, en:Fullhouse, Score:5
Jacks:1, cards:6677J, en:Fullhouse, Score:5
Jacks:1, cards:4499J, en:Fullhouse, Score:5
Jacks:1, cards:44JQQ, en:Fullhouse, Score:5
Jacks:1, cards:55JTT, en:Fullhouse, Score:5
Jacks:1, cards:22JTT, en:Fullhouse, Score:5
Jacks:1, cards:88AAJ, en:Fullhouse, Score:5
Jacks:1, cards:7799J, en:Fullhouse, Score:5
Jacks:1, cards:5566J, en:Fullhouse, Score:5
Jacks:1, cards:22JKK, en:Fullhouse, Score:5
Jacks:1, cards:229AJ, en:Threeofakind, Score:4
Jacks:1, cards:78AAJ, en:Threeofakind, Score:4
Jacks:1, cards:8JKKT, en:Threeofakind, Score:4
Jacks:1, cards:2668J, en:Threeofakind, Score:4
Jacks:1, cards:77AJT, en:Threeofakind, Score:4
Jacks:1, cards:4457J, en:Threeofakind, Score:4
Jacks:1, cards:68JTT, en:Threeofakind, Score:4
Jacks:1, cards:23JKK, en:Threeofakind, Score:4
Jacks:1, cards:78JTT, en:Threeofakind, Score:4
Jacks:1, cards:AJQQT, en:Threeofakind, Score:4
Jacks:1, cards:446JK, en:Threeofakind, Score:4
Jacks:1, cards:488JQ, en:Threeofakind, Score:4
Jacks:1, cards:2556J, en:Threeofakind, Score:4
Jacks:1, cards:3588J, en:Threeofakind, Score:4
Jacks:1, cards:7JQQT, en:Threeofakind, Score:4
Jacks:1, cards:35JKK, en:Threeofakind, Score:4
Jacks:1, cards:224JK, en:Threeofakind, Score:4
Jacks:1, cards:AJKKT, en:Threeofakind, Score:4
Jacks:1, cards:4456J, en:Threeofakind, Score:4
Jacks:1, cards:27JKK, en:Threeofakind, Score:4
Jacks:1, cards:8JKKQ, en:Threeofakind, Score:4
Jacks:1, cards:5AAJT, en:Threeofakind, Score:4
Jacks:1, cards:448JQ, en:Threeofakind, Score:4
Jacks:1, cards:7JQTT, en:Threeofakind, Score:4
Jacks:1, cards:227JQ, en:Threeofakind, Score:4
Jacks:1, cards:7JKKQ, en:Threeofakind, Score:4
Jacks:1, cards:3799J, en:Threeofakind, Score:4
Jacks:1, cards:27JTT, en:Threeofakind, Score:4
Jacks:1, cards:558JK, en:Threeofakind, Score:4
Jacks:1, cards:667AJ, en:Threeofakind, Score:4
Jacks:1, cards:44JKT, en:Threeofakind, Score:4
Jacks:1, cards:339AJ, en:Threeofakind, Score:4
Jacks:1, cards:4799J, en:Threeofakind, Score:4
Jacks:1, cards:229JT, en:Threeofakind, Score:4
Jacks:1, cards:557JK, en:Threeofakind, Score:4
Jacks:1, cards:277JQ, en:Threeofakind, Score:4
Jacks:1, cards:59AAJ, en:Threeofakind, Score:4
Jacks:1, cards:3JKTT, en:Threeofakind, Score:4
Jacks:1, cards:5667J, en:Threeofakind, Score:4
