C:1, 0,0, D:East, S:\
C:2, 1,0, D:South, S:.
C:3, 2,0, D:South, S:.
C:4, 3,0, D:South, S:.
C:5, 4,0, D:South, S:.
C:6, 5,0, D:South, S:.
C:7, 6,0, D:South, S:.
C:8, 7,0, D:South, S:.
C:9, 8,0, D:South, S:\
C:10, 8,1, D:East, S:.
C:11, 8,2, D:East, S:.
C:12, 8,3, D:East, S:.
C:13, 8,4, D:East, S:.
C:14, 8,5, D:East, S:.
C:15, 8,6, D:East, S:.
C:16, 8,7, D:East, S:.
C:17, 8,8, D:East, S:.
C:18, 8,9, D:East, S:.
C:19, 8,10, D:East, S:.
C:20, 8,11, D:East, S:.
C:21, 8,12, D:East, S:.
C:22, 8,13, D:East, S:.
C:23, 8,14, D:East, S:.
C:24, 8,15, D:East, S:|
C:25, 7,15, D:North, S:.
C:26, 6,15, D:North, S:.
C:27, 5,15, D:North, S:.
C:28, 4,15, D:North, S:/
C:29, 4,16, D:East, S:.
C:30, 4,17, D:East, S:.
C:31, 4,18, D:East, S:.
C:32, 4,19, D:East, S:.
C:33, 4,20, D:East, S:.
C:34, 4,21, D:East, S:.
C:35, 4,22, D:East, S:|
C:36, 3,22, D:North, S:.
C:37, 2,22, D:North, S:.
C:38, 1,22, D:North, S:.
C:39, 0,22, D:North, S:.
C:39, -1,22, D:North -> End.
C:40, 5,22, D:South, S:.
C:41, 6,22, D:South, S:.
C:42, 7,22, D:South, S:.
C:43, 8,22, D:South, S:/
C:44, 8,21, D:West, S:.
C:45, 8,20, D:West, S:.
C:46, 8,19, D:West, S:.
C:47, 8,18, D:West, S:.
C:48, 8,17, D:West, S:.
C:49, 8,16, D:West, S:.
C:50, 8,15, D:West, S:|
C:51, 7,15, D:North, S:.
C:52, 6,15, D:North, S:.
C:53, 5,15, D:North, S:.
C:54, 9,15, D:South, S:.
C:55, 10,15, D:South, S:.
C:56, 11,15, D:South, S:.
C:57, 12,15, D:South, S:.
C:58, 13,15, D:South, S:.
C:59, 14,15, D:South, S:.
C:60, 15,15, D:South, S:.
C:61, 16,15, D:South, S:.
C:62, 17,15, D:South, S:.
C:63, 18,15, D:South, S:.
C:64, 19,15, D:South, S:.
C:65, 20,15, D:South, S:.
C:66, 21,15, D:South, S:/
C:67, 21,14, D:West, S:.
C:68, 21,13, D:West, S:.
C:69, 21,12, D:West, S:.
C:70, 21,11, D:West, S:.
C:71, 21,10, D:West, S:.
C:72, 21,9, D:West, S:.
C:73, 21,8, D:West, S:.
C:74, 21,7, D:West, S:.
C:75, 21,6, D:West, S:.
C:76, 21,5, D:West, S:.
C:77, 21,4, D:West, S:\
C:78, 20,4, D:North, S:.
C:79, 19,4, D:North, S:.
C:80, 18,4, D:North, S:.
C:81, 17,4, D:North, S:.
C:82, 16,4, D:North, S:.
C:83, 15,4, D:North, S:.
C:84, 14,4, D:North, S:.
C:85, 13,4, D:North, S:.
C:86, 12,4, D:North, S:.
C:87, 11,4, D:North, S:.
C:88, 10,4, D:North, S:/
C:89, 10,5, D:East, S:.
C:90, 10,6, D:East, S:.
C:91, 10,7, D:East, S:.
C:92, 10,8, D:East, S:.
C:93, 10,9, D:East, S:-
C:94, 10,10, D:East, S:.
C:95, 10,11, D:East, S:.
C:96, 10,12, D:East, S:.
C:97, 10,13, D:East, S:.
C:98, 10,14, D:East, S:.
C:99, 10,15, D:East, S:.
C:100, 10,16, D:East, S:.
C:101, 10,17, D:East, S:.
C:102, 10,18, D:East, S:.
C:103, 10,19, D:East, S:.
C:104, 10,20, D:East, S:.
C:105, 10,21, D:East, S:.
C:106, 10,22, D:East, S:.
C:107, 10,23, D:East, S:.
C:108, 10,24, D:East, S:.
C:109, 10,25, D:East, S:.
C:110, 10,26, D:East, S:.
C:111, 10,27, D:East, S:.
C:112, 10,28, D:East, S:.
C:113, 10,29, D:East, S:.
C:114, 10,30, D:East, S:.
C:115, 10,31, D:East, S:.
C:116, 10,32, D:East, S:.
C:117, 10,33, D:East, S:\
C:118, 11,33, D:South, S:.
C:119, 12,33, D:South, S:.
C:120, 13,33, D:South, S:.
C:121, 14,33, D:South, S:.
C:122, 15,33, D:South, S:.
C:123, 16,33, D:South, S:.
C:124, 17,33, D:South, S:.
C:125, 18,33, D:South, S:.
C:126, 19,33, D:South, S:.
C:127, 20,33, D:South, S:.
C:128, 21,33, D:South, S:.
C:129, 22,33, D:South, S:.
C:130, 23,33, D:South, S:.
C:131, 24,33, D:South, S:.
C:132, 25,33, D:South, S:.
C:133, 26,33, D:South, S:.
C:134, 27,33, D:South, S:.
C:135, 28,33, D:South, S:.
C:136, 29,33, D:South, S:.
C:137, 30,33, D:South, S:.
C:138, 31,33, D:South, S:|
C:139, 32,33, D:South, S:.
C:140, 33,33, D:South, S:.
C:141, 34,33, D:South, S:.
C:142, 35,33, D:South, S:.
C:143, 36,33, D:South, S:.
C:144, 37,33, D:South, S:.
C:145, 38,33, D:South, S:.
C:146, 39,33, D:South, S:.
C:147, 40,33, D:South, S:|
C:148, 41,33, D:South, S:.
C:149, 42,33, D:South, S:.
C:150, 43,33, D:South, S:.
C:151, 44,33, D:South, S:.
C:152, 45,33, D:South, S:.
C:153, 46,33, D:South, S:.
C:154, 47,33, D:South, S:/
C:155, 47,32, D:West, S:.
C:156, 47,31, D:West, S:.
C:157, 47,30, D:West, S:.
